iter	Passed	Remaining
859	2217	683
860	2219	680
861	2222	678
862	2225	675
863	2227	672
864	2230	670
865	2233	667
866	2236	665
867	2238	662
868	2241	660
869	2244	657
870	2246	655
871	2249	652
872	2252	650
873	2255	647
874	2257	645
875	2260	642
876	2262	639
877	2266	637
878	2268	634
879	2271	632
880	2274	629
881	2277	627
882	2280	624
883	2283	622
884	2285	619
885	2288	617
886	2291	614
887	2294	612
888	2297	609
889	2300	607
890	2302	604
891	2305	602
892	2307	599
893	2310	596
894	2313	594
895	2316	591
896	2318	589
897	2321	586
898	2323	584
899	2326	581
900	2329	579
901	2331	576
902	2334	573
903	2336	571
904	2339	568
905	2342	566
906	2345	563
907	2348	561
908	2350	558
909	2353	556
910	2356	553
911	2358	550
912	2362	548
913	2365	545
914	2367	543
915	2370	540
916	2373	538
917	2376	535
918	2379	533
919	2381	530
920	2384	528
921	2386	525
922	2389	522
923	2392	520
924	2395	518
925	2398	515
926	2400	512
927	2403	510
928	2405	507
929	2409	505
930	2412	502
931	2414	500
932	2417	497
933	2419	494
934	2422	492
935	2425	489
936	2428	487
937	2431	484
938	2434	482
939	2436	479
940	2439	477
941	2444	474
942	2446	472
943	2449	469
944	2451	466
945	2454	464
946	2456	461
947	2459	459
948	2461	456
949	2464	453
950	2466	451
951	2469	448
952	2471	446
953	2474	443
954	2476	440
955	2479	438
956	2481	435
957	2484	433
958	2486	430
959	2488	427
960	2491	425
961	2493	422
962	2496	419
963	2499	417
964	2501	414
965	2504	412
966	2507	409
967	2509	407
968	2512	404
969	2515	401
970	2517	399
971	2520	396
972	2522	394
973	2525	391
974	2527	388
975	2530	386
976	2532	383
977	2535	381
978	2537	378
979	2540	375
980	2542	373
981	2545	370
982	2547	368
983	2550	365
984	2552	362
985	2555	360
986	2557	357
987	2560	355
988	2562	352
989	2565	349
990	2567	347
991	2570	344
992	2573	342
993	2576	339
994	2578	336
995	2581	334
996	2583	331
997	2586	329
998	2589	326
999	2592	324
1000	2594	321
1001	2597	318
1002	2599	316
1003	2601	313
1004	2604	310
1005	2606	308
1006	2609	305
1007	2611	303
1008	2614	300
1009	2616	297
1010	2619	295
1011	2621	292
1012	2624	290
1013	2626	287
1014	2628	284
1015	2631	282
1016	2634	279
1017	2636	277
1018	2639	274
1019	2641	271
1020	2643	269
1021	2646	266
1022	2648	264
1023	2651	261
1024	2654	258
1025	2656	256
1026	2659	253
1027	2661	251
1028	2663	248
1029	2666	245
1030	2669	243
1031	2672	240
1032	2674	238
1033	2677	235
1034	2679	233
1035	2682	230
1036	2685	227
1037	2687	225
1038	2690	222
1039	2692	220
1040	2694	217
1041	2697	214
1042	2700	212
1043	2702	209
1044	2705	207
1045	2707	204
1046	2709	201
1047	2712	199
1048	2715	196
1049	2717	194
1050	2720	191
1051	2722	188
1052	2724	186
1053	2727	183
1054	2729	181
1055	2733	178
1056	2735	176
1057	2738	173
1058	2741	170
1059	2743	168
1060	2746	165
1061	2749	163
1062	2751	160
1063	2754	157
1064	2756	155
1065	2759	152
1066	2762	150
1067	2764	147
1068	2767	144
1069	2769	142
1070	2772	139
1071	2774	137
1072	2777	134
1073	2779	132
1074	2782	129
1075	2785	126
1076	2787	124
1077	2790	121
1078	2792	119
1079	2795	116
1080	2798	113
1081	2800	111
1082	2802	108
1083	2805	106
1084	2807	103
1085	2810	100
1086	2813	98
1087	2815	95
1088	2818	93
1089	2820	90
1090	2822	87
1091	2825	85
1092	2827	82
1093	2830	80
1094	2833	77
1095	2835	75
1096	2838	72
1097	2840	69
1098	2843	67
1099	2846	64
1100	2848	62
1101	2851	59
1102	2853	56
1103	2856	54
1104	2858	51
1105	2861	49
1106	2864	46
1107	2866	43
1108	2869	41
1109	2871	38
1110	2874	36
1111	2877	33
1112	2880	31
1113	2882	28
1114	2885	25
1115	2887	23
1116	2889	20
1117	2892	18
1118	2895	15
1119	2898	12
1120	2900	10
1121	2902	7
1122	2905	5
1123	2907	2
1124	2910	0
